transaction_id,customer_id,amount,payment_status,failure_reason,attempt_count,customer_previous_payments,customer_previous_failures,days_since_event,subscription_status,recovery_eligible,recommended_action,transaction_date,risk_score,risk_level,detected_revenue_at_risk
TX00065,CUST1172,1299,success,,1,4,0,1,active,False,stop,2026-09-01 07:37:20,5,low,0
TX00066,CUST1121,7999,failed,timeout,4,13,5,18,active,True,retry,2026-08-15 07:37:20,40,medium,7999
TX00067,CUST1183,2499,success,,1,4,5,22,active,False,stop,2026-08-11 07:37:20,0,low,0
TX00068,CUST1192,499,failed,network_error,2,14,0,17,active,True,retry,2026-08-16 07:37:20,50,medium,499
TX00069,CUST1031,3499,success,,2,10,3,19,not_applicable,False,stop,2026-08-14 07:37:20,0,low,0
TX00070,CUST1129,2499,failed,authentication_failed,4,5,5,27,inactive,False,escalate,2026-08-06 07:37:20,15,low,0
TX00071,CUST1115,1299,failed,upi_failure,3,15,5,7,inactive,True,retry,2026-08-26 07:37:20,45,medium,1299
TX00072,CUST1112,499,failed,network_error,3,10,2,28,not_applicable,True,retry,2026-08-05 07:37:20,35,low,0
TX00073,CUST1020,799,success,,2,4,5,6,active,False,stop,2026-08-27 07:37:20,0,low,0
TX00074,CUST1106,2499,success,,2,13,0,6,inactive,False,stop,2026-08-27 07:37:20,20,low,0
TX00075,CUST1099,7999,abandoned,checkout_abandoned,0,0,1,15,active,True,reminder,2026-08-18 07:37:20,25,low,0
TX00076,CUST1090,1299,failed,insufficient_funds,5,7,3,7,inactive,False,escalate,2026-08-26 07:37:20,20,low,0
TX00077,CUST1111,3499,success,,2,12,5,5,inactive,False,stop,2026-08-28 07:37:20,15,low,0
TX00078,CUST1032,7999,success,,2,0,0,20,inactive,False,stop,2026-08-13 07:37:20,0,low,0
TX00079,CUST1034,3499,success,,2,12,2,6,inactive,False,stop,2026-08-27 07:37:20,20,low,0
TX00080,CUST1083,1999,failed,insufficient_funds,3,13,2,26,active,False,escalate,2026-08-07 07:37:20,10,low,0
TX00081,CUST1120,299,failed,timeout,3,7,5,2,not_applicable,True,retry,2026-08-31 07:37:20,45,medium,299
TX00082,CUST1010,299,abandoned,checkout_abandoned,0,6,0,19,active,True,reminder,2026-08-14 07:37:20,20,low,0
TX00083,CUST1061,799,success,,1,6,3,22,inactive,False,stop,2026-08-11 07:37:20,0,low,0
TX00084,CUST1196,1999,success,,1,5,2,3,not_applicable,False,stop,2026-08-30 07:37:20,10,low,0
TX00085,CUST1006,1299,failed,insufficient_funds,4,6,0,18,not_applicable,False,escalate,2026-08-15 07:37:20,10,low,0
TX00086,CUST1160,999,success,,2,3,4,25,active,False,stop,2026-08-08 07:37:20,0,low,0
TX00087,CUST1088,4999,success,,2,2,2,0,inactive,False,stop,2026-09-02 07:37:20,15,low,0
TX00088,CUST1125,499,success,,2,14,5,4,inactive,False,stop,2026-08-29 07:37:20,5,low,0
TX00089,CUST1045,4999,abandoned,checkout_abandoned,0,8,4,25,not_applicable,True,reminder,2026-08-08 07:37:20,25,low,0
TX00090,CUST1198,3499,success,,2,10,1,26,active,False,stop,2026-08-07 07:37:20,5,low,0
TX00091,CUST1071,3499,success,,2,12,2,0,inactive,False,stop,2026-09-02 07:37:20,20,low,0
TX00092,CUST1083,799,success,,2,8,2,8,not_applicable,False,stop,2026-08-25 07:37:20,10,low,0
TX00093,CUST1179,1299,failed,authentication_failed,2,2,1,23,inactive,False,escalate,2026-08-10 07:37:20,20,low,0
TX00094,CUST1125,4999,failed,upi_failure,4,15,3,25,active,True,retry,2026-08-08 07:37:20,40,medium,4999
TX00095,CUST1023,1299,success,,1,9,5,18,inactive,False,stop,2026-08-15 07:37:20,0,low,0
TX00096,CUST1121,4999,success,,2,10,2,22,inactive,False,stop,2026-08-11 07:37:20,5,low,0
TX00097,CUST1069,1299,success,,1,6,2,3,not_applicable,False,stop,2026-08-30 07:37:20,10,low,0
TX00098,CUST1137,799,success,,2,8,5,18,not_applicable,False,stop,2026-08-15 07:37:20,0,low,0
TX00099,CUST1152,1299,abandoned,checkout_abandoned,0,6,2,7,inactive,True,reminder,2026-08-26 07:37:20,35,low,0
TX00100,CUST1045,1299,success,,1,8,0,1,not_applicable,False,stop,2026-09-01 07:37:20,10,low,0
TX00101,CUST1074,799,failed,insufficient_funds,1,0,1,15,inactive,False,escalate,2026-08-18 07:37:20,20,low,0
TX00102,CUST1112,1999,success,,1,8,3,3,active,False,stop,2026-08-30 07:37:20,5,low,0
TX00103,CUST1102,3499,success,,1,4,1,25,not_applicable,False,stop,2026-08-08 07:37:20,0,low,0
TX00104,CUST1077,499,abandoned,checkout_abandoned,0,3,4,24,inactive,True,reminder,2026-08-09 07:37:20,10,low,0
TX00105,CUST1155,7999,failed,network_error,5,12,3,29,inactive,True,retry,2026-08-04 07:37:20,40,medium,7999
TX00106,CUST1076,7999,abandoned,checkout_abandoned,0,9,4,19,active,True,reminder,2026-08-14 07:37:20,25,low,0
TX00107,CUST1156,499,abandoned,checkout_abandoned,0,6,5,6,inactive,True,reminder,2026-08-27 07:37:20,30,low,0
TX00108,CUST1169,499,success,,1,2,1,0,inactive,False,stop,2026-09-02 07:37:20,5,low,0
TX00109,CUST1115,7999,success,,1,7,2,22,inactive,False,stop,2026-08-11 07:37:20,5,low,0
TX00110,CUST1179,3499,success,,1,8,5,18,not_applicable,False,stop,2026-08-15 07:37:20,0,low,0
TX00111,CUST1050,2499,success,,1,4,2,26,active,False,stop,2026-08-07 07:37:20,0,low,0
TX00112,CUST1018,299,success,,2,9,3,3,inactive,False,stop,2026-08-30 07:37:20,5,low,0
TX00113,CUST1176,1299,failed,bank_declined,5,15,3,2,not_applicable,False,escalate,2026-08-31 07:37:20,45,medium,1299
TX00114,CUST1010,2499,failed,authentication_failed,3,0,0,7,not_applicable,False,escalate,2026-08-26 07:37:20,30,low,0
TX00115,CUST1147,7999,abandoned,checkout_abandoned,0,8,4,1,active,True,reminder,2026-09-01 07:37:20,40,medium,7999
TX00116,CUST1120,4999,failed,bank_declined,2,13,5,26,inactive,True,retry,2026-08-07 07:37:20,55,medium,4999
TX00117,CUST1023,3499,success,,2,10,5,3,active,False,stop,2026-08-30 07:37:20,15,low,0
TX00118,CUST1084,2499,failed,bank_declined,4,1,1,2,inactive,False,escalate,2026-08-31 07:37:20,55,medium,2499
TX00119,CUST1064,1999,success,,2,0,1,13,active,False,stop,2026-08-20 07:37:20,5,low,0
TX00120,CUST1048,4999,success,,2,14,0,6,inactive,False,stop,2026-08-27 07:37:20,20,low,0
TX00121,CUST1140,799,abandoned,checkout_abandoned,0,14,5,15,active,True,reminder,2026-08-18 07:37:20,15,low,0
TX00122,CUST1007,9999,failed,network_error,2,9,4,0,not_applicable,True,retry,2026-09-02 07:37:20,70,high,9999
TX00123,CUST1104,499,success,,1,14,0,20,active,False,stop,2026-08-13 07:37:20,0,low,0
TX00124,CUST1127,1299,success,,2,13,3,15,active,False,stop,2026-08-18 07:37:20,0,low,0
TX00125,CUST1116,4999,success,,1,4,0,8,inactive,False,stop,2026-08-25 07:37:20,15,low,0
TX00126,CUST1087,4999,success,,1,9,5,9,not_applicable,False,stop,2026-08-24 07:37:20,15,low,0
TX00127,CUST1148,9999,success,,1,14,4,15,inactive,False,stop,2026-08-18 07:37:20,0,low,0
TX00128,CUST1085,4999,failed,insufficient_funds,4,10,1,22,active,False,escalate,2026-08-11 07:37:20,20,low,0
TX00129,CUST1146,2499,success,,2,1,1,23,inactive,False,stop,2026-08-10 07:37:20,0,low,0
TX00130,CUST1180,2499,success,,1,15,0,4,not_applicable,False,stop,2026-08-29 07:37:20,20,low,0
TX00131,CUST1151,1999,abandoned,checkout_abandoned,0,14,0,16,inactive,True,reminder,2026-08-17 07:37:20,20,low,0
TX00132,CUST1003,799,success,,1,2,3,25,inactive,False,stop,2026-08-08 07:37:20,0,low,0
TX00133,CUST1086,7999,failed,upi_failure,1,10,5,27,not_applicable,True,retry,2026-08-06 07:37:20,55,medium,7999
TX00134,CUST1097,1999,failed,insufficient_funds,5,1,2,2,active,False,escalate,2026-08-31 07:37:20,20,low,0
TX00135,CUST1161,9999,abandoned,checkout_abandoned,0,7,5,2,inactive,True,reminder,2026-08-31 07:37:20,40,medium,9999
TX00136,CUST1025,9999,failed,timeout,4,5,5,9,active,True,retry,2026-08-24 07:37:20,55,medium,9999
TX00137,CUST1011,1999,failed,bank_declined,3,11,3,4,active,False,escalate,2026-08-29 07:37:20,45,medium,1999
TX00138,CUST1135,2499,failed,network_error,2,5,0,19,inactive,True,retry,2026-08-14 07:37:20,60,medium,2499
TX00139,CUST1158,9999,success,,1,7,3,20,inactive,False,stop,2026-08-13 07:37:20,0,low,0
TX00140,CUST1117,1299,failed,insufficient_funds,3,5,0,14,inactive,False,escalate,2026-08-19 07:37:20,25,low,0
TX00141,CUST1150,1299,failed,insufficient_funds,3,14,2,6,inactive,False,escalate,2026-08-27 07:37:20,25,low,0
TX00142,CUST1123,499,success,,2,9,5,9,active,False,stop,2026-08-24 07:37:20,5,low,0
TX00143,CUST1168,2499,success,,1,15,2,24,active,False,stop,2026-08-09 07:37:20,5,low,0
TX00144,CUST1155,1999,success,,1,8,5,24,not_applicable,False,stop,2026-08-09 07:37:20,0,low,0
TX00145,CUST1196,9999,failed,network_error,1,1,1,25,inactive,True,retry,2026-08-08 07:37:20,55,medium,9999
TX00146,CUST1008,7999,success,,1,2,2,10,not_applicable,False,stop,2026-08-23 07:37:20,15,low,0
TX00147,CUST1106,799,success,,2,8,1,8,inactive,False,stop,2026-08-25 07:37:20,10,low,0
TX00148,CUST1075,1999,failed,insufficient_funds,1,4,1,27,not_applicable,False,escalate,2026-08-06 07:37:20,20,low,0
TX00149,CUST1185,9999,abandoned,checkout_abandoned,0,11,0,25,inactive,True,reminder,2026-08-08 07:37:20,30,low,0
TX00150,CUST1003,1299,success,,2,11,5,23,not_applicable,False,stop,2026-08-10 07:37:20,0,low,0
TX00151,CUST1067,7999,success,,2,3,1,15,active,False,stop,2026-08-18 07:37:20,0,low,0
TX00152,CUST1158,4999,success,,1,2,3,29,not_applicable,False,stop,2026-08-04 07:37:20,0,low,0
TX00153,CUST1077,9999,success,,1,1,0,9,inactive,False,stop,2026-08-24 07:37:20,15,low,0
TX00154,CUST1029,499,success,,1,12,3,11,not_applicable,False,stop,2026-08-22 07:37:20,5,low,0
TX00155,CUST1190,4999,success,,1,13,5,3,inactive,False,stop,2026-08-30 07:37:20,15,low,0
TX00156,CUST1157,2499,abandoned,checkout_abandoned,0,8,0,22,inactive,True,reminder,2026-08-11 07:37:20,30,low,0
TX00157,CUST1055,3499,success,,1,11,0,21,inactive,False,stop,2026-08-12 07:37:20,5,low,0
TX00158,CUST1139,9999,success,,2,8,1,30,active,False,stop,2026-08-03 07:37:20,5,low,0
TX00159,CUST1116,499,failed,upi_failure,5,0,0,25,inactive,True,retry,2026-08-08 07:37:20,30,low,0
TX00160,CUST1062,799,failed,network_error,1,6,4,6,active,True,retry,2026-08-27 07:37:20,60,medium,799
TX00161,CUST1084,799,failed,authentication_failed,1,8,1,4,not_applicable,False,escalate,2026-08-29 07:37:20,40,medium,799
TX00162,CUST1064,799,success,,1,4,0,11,active,False,stop,2026-08-22 07:37:20,5,low,0
TX00163,CUST1150,1999,success,,2,1,0,23,inactive,False,stop,2026-08-10 07:37:20,0,low,0
TX00164,CUST1134,499,failed,insufficient_funds,4,11,4,18,active,False,escalate,2026-08-15 07:37:20,5,low,0
TX00165,CUST1115,4999,success,,1,9,3,20,active,False,stop,2026-08-13 07:37:20,0,low,0
TX00166,CUST1015,3499,failed,insufficient_funds,1,15,5,29,inactive,False,escalate,2026-08-04 07:37:20,30,low,0
TX00167,CUST1018,499,success,,1,2,1,8,not_applicable,False,stop,2026-08-25 07:37:20,5,low,0
TX00168,CUST1162,7999,success,,2,12,4,16,inactive,False,stop,2026-08-17 07:37:20,0,low,0
TX00169,CUST1116,4999,failed,timeout,1,6,3,14,active,True,retry,2026-08-19 07:37:20,70,high,4999
TX00170,CUST1105,1999,failed,insufficient_funds,4,3,2,13,inactive,False,escalate,2026-08-20 07:37:20,20,low,0
TX00171,CUST1170,1299,success,,1,15,0,2,active,False,stop,2026-08-31 07:37:20,10,low,0
TX00172,CUST1023,2499,success,,2,4,4,1,not_applicable,False,stop,2026-09-01 07:37:20,10,low,0
TX00173,CUST1143,4999,success,,1,13,2,27,not_applicable,False,stop,2026-08-06 07:37:20,5,low,0
TX00174,CUST1192,2499,abandoned,checkout_abandoned,0,1,1,19,inactive,True,reminder,2026-08-14 07:37:20,25,low,0
TX00175,CUST1090,499,failed,network_error,2,15,1,27,active,True,retry,2026-08-06 07:37:20,50,medium,499
TX00176,CUST1089,4999,success,,2,7,3,27,not_applicable,False,stop,2026-08-06 07:37:20,0,low,0
TX00177,CUST1196,7999,failed,upi_failure,5,0,1,0,active,True,retry,2026-09-02 07:37:20,55,medium,7999
TX00178,CUST1069,1299,abandoned,checkout_abandoned,0,11,0,5,active,True,reminder,2026-08-28 07:37:20,35,low,0
TX00179,CUST1144,9999,success,,1,0,0,23,not_applicable,False,stop,2026-08-10 07:37:20,0,low,0
TX00180,CUST1055,2499,success,,2,5,2,9,not_applicable,False,stop,2026-08-24 07:37:20,20,low,0
TX00181,CUST1083,7999,failed,timeout,2,5,4,1,not_applicable,True,retry,2026-09-01 07:37:20,70,high,7999
TX00182,CUST1020,1299,success,,2,15,4,14,inactive,False,stop,2026-08-19 07:37:20,5,low,0
TX00183,CUST1069,999,failed,timeout,3,13,0,9,not_applicable,True,retry,2026-08-24 07:37:20,50,medium,999
TX00184,CUST1173,7999,success,,2,1,0,12,not_applicable,False,stop,2026-08-21 07:37:20,15,low,0
TX00185,CUST1014,299,success,,1,4,2,9,inactive,False,stop,2026-08-24 07:37:20,5,low,0
TX00186,CUST1030,299,success,,2,5,1,12,not_applicable,False,stop,2026-08-21 07:37:20,10,low,0
TX00187,CUST1180,999,success,,2,2,3,27,not_applicable,False,stop,2026-08-06 07:37:20,0,low,0
TX00188,CUST1010,2499,success,,1,10,4,13,not_applicable,False,stop,2026-08-20 07:37:20,15,low,0
TX00189,CUST1103,9999,success,,1,12,0,30,inactive,False,stop,2026-08-03 07:37:20,5,low,0
TX00190,CUST1043,7999,success,,2,2,3,27,active,False,stop,2026-08-06 07:37:20,0,low,0
TX00191,CUST1062,2499,failed,authentication_failed,1,12,2,23,inactive,False,escalate,2026-08-10 07:37:20,35,low,0
TX00192,CUST1056,1999,failed,timeout,5,3,4,16,active,True,retry,2026-08-17 07:37:20,25,low,0
TX00193,CUST1198,1999,success,,1,7,0,4,inactive,False,stop,2026-08-29 07:37:20,10,low,0
TX00194,CUST1050,799,failed,upi_failure,1,5,5,15,inactive,True,retry,2026-08-18 07:37:20,45,medium,799
TX00195,CUST1193,7999,failed,insufficient_funds,5,10,5,10,active,False,escalate,2026-08-23 07:37:20,30,low,0
TX00196,CUST1112,499,success,,2,8,4,1,inactive,False,stop,2026-09-01 07:37:20,5,low,0
TX00197,CUST1129,499,success,,2,1,0,11,inactive,False,stop,2026-08-22 07:37:20,5,low,0
TX00198,CUST1019,9999,abandoned,checkout_abandoned,0,2,3,14,not_applicable,True,reminder,2026-08-19 07:37:20,35,low,0
TX00199,CUST1141,299,success,,1,10,4,15,not_applicable,False,stop,2026-08-18 07:37:20,0,low,0
TX00200,CUST1038,299,success,,2,2,1,1,active,False,stop,2026-09-01 07:37:20,5,low,0
TX00201,CUST1181,3499,abandoned,checkout_abandoned,0,5,2,11,inactive,True,reminder,2026-08-22 07:37:20,45,medium,3499
TX00202,CUST1099,2499,failed,upi_failure,5,1,2,20,inactive,True,retry,2026-08-13 07:37:20,40,medium,2499
TX00203,CUST1016,1999,success,,2,9,2,23,not_applicable,False,stop,2026-08-10 07:37:20,0,low,0
TX00204,CUST1154,799,success,,1,11,2,30,not_applicable,False,stop,2026-08-03 07:37:20,0,low,0
TX00205,CUST1178,9999,success,,1,9,4,12,not_applicable,False,stop,2026-08-21 07:37:20,15,low,0
TX00206,CUST1084,799,failed,upi_failure,5,2,3,16,inactive,True,retry,2026-08-17 07:37:20,25,low,0
TX00207,CUST1004,1999,success,,1,10,3,6,active,False,stop,2026-08-27 07:37:20,5,low,0
TX00208,CUST1035,799,success,,1,1,2,10,not_applicable,False,stop,2026-08-23 07:37:20,5,low,0
TX00209,CUST1033,7999,success,,1,5,5,24,not_applicable,False,stop,2026-08-09 07:37:20,0,low,0
TX00210,CUST1042,3499,success,,2,7,3,19,inactive,False,stop,2026-08-14 07:37:20,0,low,0
TX00211,CUST1192,3499,success,,1,9,3,28,active,False,stop,2026-08-05 07:37:20,0,low,0
TX00212,CUST1094,9999,abandoned,checkout_abandoned,0,14,3,24,inactive,True,reminder,2026-08-09 07:37:20,25,low,0
TX00213,CUST1199,2499,success,,2,5,1,25,not_applicable,False,stop,2026-08-08 07:37:20,5,low,0
TX00214,CUST1035,1299,success,,2,11,4,29,active,False,stop,2026-08-04 07:37:20,0,low,0
TX00215,CUST1182,4999,abandoned,checkout_abandoned,0,9,0,24,active,True,reminder,2026-08-09 07:37:20,30,low,0
TX00216,CUST1069,3499,abandoned,checkout_abandoned,0,4,3,2,active,True,reminder,2026-08-31 07:37:20,35,low,0
TX00217,CUST1115,1999,abandoned,checkout_abandoned,0,13,0,12,not_applicable,True,reminder,2026-08-21 07:37:20,35,low,0
TX00218,CUST1095,999,success,,1,11,1,0,inactive,False,stop,2026-09-02 07:37:20,10,low,0
TX00219,CUST1025,9999,success,,1,4,0,9,inactive,False,stop,2026-08-24 07:37:20,15,low,0
TX00220,CUST1178,799,failed,insufficient_funds,4,0,0,0,inactive,False,escalate,2026-09-02 07:37:20,20,low,0
TX00221,CUST1055,799,success,,2,3,2,7,inactive,False,stop,2026-08-26 07:37:20,5,low,0
TX00222,CUST1031,299,success,,2,2,0,26,inactive,False,stop,2026-08-07 07:37:20,0,low,0
TX00223,CUST1152,4999,success,,1,4,2,13,active,False,stop,2026-08-20 07:37:20,15,low,0
TX00224,CUST1157,1999,success,,2,5,5,21,active,False,stop,2026-08-12 07:37:20,0,low,0
TX00225,CUST1134,1999,success,,1,12,3,1,not_applicable,False,stop,2026-09-01 07:37:20,5,low,0
TX00226,CUST1099,1999,success,,1,11,0,11,active,False,stop,2026-08-22 07:37:20,10,low,0
TX00227,CUST1187,9999,failed,authentication_failed,3,4,0,11,not_applicable,False,escalate,2026-08-22 07:37:20,30,low,0
TX00228,CUST1086,9999,success,,2,15,5,5,active,False,stop,2026-08-28 07:37:20,15,low,0
TX00229,CUST1016,3499,success,,1,1,0,28,active,False,stop,2026-08-05 07:37:20,0,low,0
TX00230,CUST1080,1299,success,,2,8,0,24,not_applicable,False,stop,2026-08-09 07:37:20,0,low,0
TX00231,CUST1048,1299,success,,1,10,2,3,inactive,False,stop,2026-08-30 07:37:20,10,low,0
TX00232,CUST1111,2499,failed,insufficient_funds,3,5,3,22,inactive,False,escalate,2026-08-11 07:37:20,15,low,0
TX00233,CUST1094,4999,success,,1,13,0,13,not_applicable,False,stop,2026-08-20 07:37:20,20,low,0
TX00234,CUST1046,4999,success,,1,2,2,21,inactive,False,stop,2026-08-12 07:37:20,0,low,0
TX00235,CUST1078,3499,failed,insufficient_funds,2,14,2,14,active,False,escalate,2026-08-19 07:37:20,50,medium,3499
TX00236,CUST1186,1999,failed,insufficient_funds,3,1,0,21,not_applicable,False,escalate,2026-08-12 07:37:20,5,low,0
TX00237,CUST1103,1999,success,,1,0,0,27,not_applicable,False,stop,2026-08-06 07:37:20,0,low,0
TX00238,CUST1173,3499,success,,1,7,5,11,inactive,False,stop,2026-08-22 07:37:20,15,low,0
TX00239,CUST1098,7999,success,,1,14,2,11,inactive,False,stop,2026-08-22 07:37:20,20,low,0
TX00240,CUST1195,499,failed,authentication_failed,3,12,2,20,inactive,False,escalate,2026-08-13 07:37:20,10,low,0
TX00241,CUST1063,499,success,,1,15,4,12,not_applicable,False,stop,2026-08-21 07:37:20,5,low,0
TX00242,CUST1030,1299,failed,upi_failure,4,6,4,9,not_applicable,True,retry,2026-08-24 07:37:20,45,medium,1299
TX00243,CUST1125,999,success,,1,14,1,28,not_applicable,False,stop,2026-08-05 07:37:20,0,low,0
TX00244,CUST1113,499,failed,bank_declined,3,2,2,28,inactive,False,escalate,2026-08-05 07:37:20,30,low,0
